,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
180,Elysia Annacini,Desconocido,"['Interfere', ""You're in Trouble"", 'Mercury in Tuna', 'Chez Risqué']","['Actress', 'Assistant']",Desconocido,--
181,Christopher Belgin,Desconocido,"[""You're in Trouble""]",['Actor'],Desconocido,--
182,Bailey Blackout,Desconocido,"[""You're in Trouble""]",['Actor'],Desconocido,--
183,Shannon Booze,Desconocido,"[""You're in Trouble""]",['Actress'],Desconocido,--
184,Craig Coppaway,Desconocido,"[""You're in Trouble""]",['Actor'],Desconocido,--
185,Stephen Du,Desconocido,"[""You're in Trouble""]",['Actor'],Desconocido,--
186,Hal Weaver,Desconocido,"['Happy Walter', 'Cold Readings']",['Actor'],Desconocido,--
187,Zoje Stage,1969,"['Bewilderness', 'Happy Walter', 'Against Her Skin', 'Tea Ceremony at the End of the World']","['Writer', 'Producer', 'Director']",Desconocido,--
188,Deborah Stage,Desconocido,"['Happy Walter', 'Bewilderness', 'Tea Ceremony at the End of the World']","['Actress', 'Producer']",Desconocido,--
189,Vivienne Shaffer,Desconocido,['Happy Walter'],['Actress'],Desconocido,--
190,Mike Axelrod,Desconocido,['Happy Walter'],['Actor'],Desconocido,--
